Seed,Fine,Salary,Score
10001,9010554,1439497,10450051
10002,6342192,3832500,10174692
10003,2181816,6441915,8623731
10004,9081982,4932992,14014974
10005,220032,4868712,5088744
10006,2053500,743520,2797020
10007,11332916,5654118,16987034
10008,373520,4224350,4597870
10009,4202010,1671801,5873811
10010,1802509,6297544,8100053
10011,230352,2523420,2753772
10012,1334875,4773846,6108721
10013,3112314,6796868,9909182
10014,1118826,7202706,8321532
10015,1792128,5143524,6935652
10016,12941601,4609709,17551310
10017,1529775,3211155,4740930
10018,21892685,5742104,27634789
10019,3439956,1788216,5228172
10020,1626548,3946395,5572943
10021,2333520,1444863,3778383
10022,7149516,976766,8126282
10023,354696,4420952,4775648
10024,7572928,1982961,9555889
10025,1359708,3319515,4679223
10026,3801670,6268416,10070086
10027,1538604,6671618,8210222
10028,13085797,5985924,19071721
10029,6498960,5982093,12481053
10030,10880940,7241755,18122695
10031,2955084,7090752,10045836
10032,7683228,2041281,9724509
10033,4317693,6485964,10803657
10034,3603540,6212430,9815970
10035,13451620,5484537,18936157
10036,1574848,1548540,3123388
10037,4366010,3782663,8148673
10038,2833784,6079752,8913536
10039,340934,2710890,3051824
10040,2116422,6492668,8609090
10041,1722339,2904720,4627059
10042,2353008,1736325,4089333
10043,263496,2989059,3252555
10044,593066,741939,1335005
10045,3250026,4523280,7773306
10046,9550440,2537568,12088008
10047,822492,2183090,3005582
10048,3515400,3967376,7482776
10049,3107264,1486480,4593744
10050,753018,6562890,7315908
10051,1020920,5754224,6775144
10052,3001488,6641781,9643269
10053,1077030,3550470,4627500
10054,2640785,4465440,7106225
10055,3466386,2777572,6243958
10056,2927470,5889225,8816695
10057,1216380,1106625,2323005
10058,2266245,5322941,7589186
10059,2999737,3972192,6971929
10060,3299988,1709630,5009618
10061,1449552,7079642,8529194
10062,1908448,2151690,4060138
10063,2245306,6004778,8250084
10064,3614322,3798881,7413203
10065,4197240,2694694,6891934
10066,8210070,3603800,11813870
10067,2049590,4008012,6057602
10068,5820050,5630384,11450434
10069,1098240,7444400,8542640
10070,2155008,2159584,4314592
10071,665670,2252119,2917789
10072,4842488,3381750,8224238
10073,5873824,5728685,11602509
10074,7841604,734790,8576394
10075,4479800,6270264,10750064
10076,3891423,4458300,8349723
10077,3404210,2159104,5563314
10078,3975849,5824588,9800437
10079,1465140,5997829,7462969
10080,2762486,5209719,7972205
10081,3864320,5254248,9118568
10082,2513896,2001483,4515379
10083,1224960,3973185,5198145
10084,7100500,4166167,11266667
10085,1858428,4698174,6556602
10086,335340,1197776,1533116
10087,5084066,1215568,6299634
10088,3162884,6794550,9957434
10089,10496376,1782912,12279288
10090,20706808,1765824,22472632
10091,1396872,1009710,2406582
10092,1329070,3635959,4965029
10093,5495388,6729735,12225123
10094,1694840,4504064,6198904
10095,2132640,806004,2938644
10096,11086324,4998408,16084732
10097,4209519,4785984,8995503
10098,1034625,5885877,6920502
10099,10495968,5765120,16261088
10100,540270,921232,1461502
10101,3872494,6886656,10759150
10102,590444,3068910,3659354
10103,132202,1602601,1734803
10104,1881810,885963,2767773
10105,935130,5600056,6535186
10106,1225325,5897790,7123115
10107,1076736,4624518,5701254
10108,7212240,810524,8022764
10109,360150,1866189,2226339
10110,6680778,6674658,13355436
10111,353616,1963488,2317104
10112,2776683,2037231,4813914
10113,1681216,842352,2523568
10114,3546664,7093056,10639720
10115,4006930,2618618,6625548
10116,5802001,812581,6614582
10117,1265222,1213408,2478630
10118,1519398,1953770,3473168
10119,281263,4652100,4933363
10120,1997721,5179209,7176930
10121,979290,6019741,6999031
10122,8894270,5141390,14035660
10123,567552,4361240,4928792
10124,7497356,2529056,10026412
10125,2407776,2256211,4663987
10126,1460644,2879925,4340569
10127,4965356,1589742,6555098
10128,4178500,4824495,9002995
10129,270963,2259075,2530038
10130,3519548,7293000,10812548
10131,5434135,3547845,8981980
10132,377895,1784075,2161970
10133,2525040,5754903,8279943
10134,4795900,2293240,7089140
10135,6097300,3231180,9328480
10136,816336,5164390,5980726
10137,3162528,3709545,6872073
10138,625680,2747902,3373582
10139,3812512,1852396,5664908
10140,4466784,1223575,5690359
10141,5258649,1082458,6341107
10142,4445700,1834344,6280044
10143,3599793,2184490,5784283
10144,9932560,5122600,15055160
10145,4542720,6327288,10870008
10146,4083154,1801625,5884779
10147,8125048,1385874,9510922
10148,2682019,5586252,8268271
10149,7276331,1409933,8686264
10150,11088584,3013000,14101584
10151,177200,6442478,6619678
10152,2595594,6934560,9530154
10153,2585090,6426779,9011869
10154,4831679,3302478,8134157
10155,5789872,2063031,7852903
10156,6082953,3614871,9697824
10157,10384592,2609573,12994165
10158,1699286,6240000,7939286
10159,724191,6879807,7603998
10160,1299500,6145419,7444919
10161,6466183,1395474,7861657
10162,3616668,4756531,8373199
10163,670472,4272030,4942502
10164,7105696,6475818,13581514
10165,3277218,3663888,6941106
10166,1871510,4514406,6385916
10167,4871593,1656782,6528375
10168,646551,6749952,7396503
10169,4543824,5756493,10300317
10170,1745700,5566077,7311777
10171,10993320,4372440,15365760
10172,5072151,4736242,9808393
10173,7568604,5275200,12843804
10174,1626905,6700275,8327180
10175,15932232,1052590,16984822
10176,3572612,5945410,9518022
10177,6297075,5080476,11377551
10178,6895616,6328206,13223822
10179,1509479,5847192,7356671
10180,10736216,1281042,12017258
10181,6238048,4994716,11232764
10182,7250923,5507658,12758581
10183,3103815,3536918,6640733
10184,3792370,3932550,7724920
10185,11732907,2275200,14008107
10186,17441088,3757382,21198470
10187,8888176,6972273,15860449
10188,9200230,5955680,15155910
10189,1093613,3245720,4339333
10190,1705062,6050932,7755994
10191,4653192,7262046,11915238
10192,6258966,6517953,12776919
10193,5803182,4151063,9954245
10194,823392,3783746,4607138
10195,2961756,5040174,8001930
10196,6900306,6107400,13007706
10197,742150,3509568,4251718
10198,3480308,7148708,10629016
10199,5783570,5194266,10977836
10200,4636742,5379552,10016294
